DAS Channel,Lat [decimal],Lon [decimal],Elevation [m],OD [m]
0,61.309956,-45.725202,3.4,0.0
1,61.309956,-45.725202,3.4,4.79
2,61.309956,-45.725202,3.4,9.57
3,61.309956,-45.725202,3.4,14.36
4,61.309956,-45.725202,3.4,19.14
5,61.309956,-45.725202,3.4,23.93
6,61.309956,-45.725202,3.4,28.72
7,61.309956,-45.725202,3.4,33.5
8,61.309956,-45.725202,3.4,38.29
9,61.309956,-45.725202,3.4,43.07
10,61.309956,-45.725202,3.4,47.86
11,61.309956,-45.725202,3.4,52.65
12,61.309956,-45.725202,3.4,57.43
13,61.309956,-45.725202,3.4,62.22
14,61.309956,-45.725202,3.4,67.0
15,61.309956,-45.725202,3.4,71.79
16,61.309956,-45.725202,3.4,76.58
17,61.309956,-45.725202,3.4,81.36
18,61.309956,-45.725202,3.4,86.15
19,61.309956,-45.725202,3.4,90.93
20,61.309956,-45.725202,3.4,95.72
21,61.309956,-45.725202,3.4,100.51
22,61.309956,-45.725202,3.4,105.29
23,61.309956,-45.725202,3.4,110.08
24,61.309956,-45.725202,3.4,114.86
25,61.309956,-45.725202,3.4,119.65
26,61.309956,-45.725202,3.4,124.44
27,61.309956,-45.725202,3.4,129.22
28,61.309956,-45.725202,3.4,134.01
29,61.309956,-45.725202,3.4,138.79
30,61.309956,-45.725202,3.4,143.58
31,61.309956,-45.725202,3.4,148.37
32,61.309956,-45.725202,3.4,153.15
33,61.309956,-45.725202,3.4,157.94
34,61.309956,-45.725202,3.4,162.72
35,61.309956,-45.725202,3.4,167.51
36,61.309956,-45.725202,3.4,172.3
37,61.309956,-45.725202,3.4,177.08
38,61.309956,-45.725202,3.4,181.87
39,61.309956,-45.725202,3.4,186.65
40,61.309956,-45.725202,3.4,191.44
41,61.309956,-45.725202,3.4,196.23
42,61.309956,-45.725202,3.4,201.01
43,61.309956,-45.725202,3.4,205.8
44,61.309956,-45.725202,3.4,210.58
45,61.309956,-45.725202,3.4,215.37
46,61.309956,-45.725202,3.4,220.16
47,61.309956,-45.725202,3.4,224.94
48,61.309956,-45.725202,3.4,229.73
49,61.309956,-45.725202,3.4,234.51
50,61.309956,-45.725202,3.4,239.3
51,61.309956,-45.725202,3.4,244.09
52,61.309956,-45.725202,3.4,248.87
53,61.309956,-45.725202,3.4,253.66
54,61.309936,-45.725236,5.1,258.44
55,61.309904,-45.725287,5.7,263.23
56,61.309897,-45.725342,6.1,268.02
57,61.309935,-45.725338,6.0,272.8
58,61.309966,-45.725393,6.1,277.59
59,61.309996,-45.725451,5.7,282.37
60,61.310017,-45.725523,5.5,287.16
61,61.310039,-45.725594,6.1,291.95
62,61.310059,-45.725664,6.1,296.73
63,61.310083,-45.725732,5.3,301.52
64,61.310112,-45.725792,5.4,306.3
65,61.310148,-45.725834,4.8,311.09
66,61.310179,-45.725888,4.8,315.88
67,61.310206,-45.725953,5.3,320.66
68,61.310234,-45.726014,5.1,325.45
69,61.310256,-45.726084,4.9,330.23
70,61.310288,-45.726131,5.3,335.02
71,61.310318,-45.726191,5.3,339.81
72,61.310345,-45.726253,5.4,344.59
73,61.310374,-45.726313,5.2,349.38
74,61.310404,-45.726369,5.5,354.16
75,61.310432,-45.72643,5.6,358.95
76,61.310466,-45.726472,5.4,363.74
77,61.310488,-45.726542,5.2,368.52
78,61.31051,-45.726614,5.9,373.31
79,61.310532,-45.726686,5.5,378.09
80,61.310562,-45.726744,5.4,382.88
81,61.310594,-45.726787,4.7,387.67
82,61.310621,-45.726851,5.0,392.45
83,61.310646,-45.726917,4.9,397.24
84,61.310673,-45.726981,4.7,402.02
85,61.310698,-45.727049,4.0,406.81
86,61.310723,-45.727115,4.0,411.6
87,61.310748,-45.727184,5.1,416.38
88,61.310763,-45.727263,5.2,421.17
89,61.31078,-45.727337,6.3,425.95
90,61.310811,-45.727392,6.3,430.74
91,61.310828,-45.72747,5.7,435.53
92,61.310845,-45.727547,7.3,440.31
93,61.310866,-45.72762,7.4,445.1
94,61.31089,-45.727688,6.9,449.88
95,61.310912,-45.72776,7.0,454.67
96,61.310934,-45.72783,6.9,459.46
97,61.310955,-45.727903,7.1,464.24
98,61.310977,-45.727975,7.8,469.03
99,61.310999,-45.728046,8.7,473.81
100,61.31102,-45.728119,9.1,478.6
101,61.311042,-45.728191,10.3,483.39
102,61.311058,-45.728269,10.5,488.17
103,61.311078,-45.728343,10.6,492.96
104,61.311089,-45.728423,11.2,497.74
105,61.311097,-45.728506,11.6,502.53
106,61.311082,-45.728584,11.3,507.32
107,61.311063,-45.728659,11.3,512.1
108,61.311028,-45.728685,11.5,516.89
109,61.311002,-45.728686,9.4,521.67
110,61.310964,-45.728651,7.7,526.46
111,61.310934,-45.728598,5.0,531.25
112,61.3109,-45.728585,2.5,536.03
113,61.310865,-45.728547,-0.4,540.82
114,61.310832,-45.728503,-3.5,545.6
115,61.310821,-45.728517,-5.1,550.39
116,61.310809,-45.728566,-7.1,555.18
117,61.310797,-45.728615,-9.1,559.96
118,61.310785,-45.728664,-11.1,564.75
119,61.310773,-45.728713,-13.1,569.53
120,61.310762,-45.728763,-15.1,574.32
121,61.310764,-45.728769,-15.4,579.11
122,61.310764,-45.728747,-15.4,583.89
123,61.310756,-45.72877,-15.4,588.68
124,61.310737,-45.728752,-15.4,593.46
125,61.310715,-45.728723,-15.4,598.25
126,61.310735,-45.728739,-15.4,603.04
127,61.310717,-45.728758,-15.4,607.82
128,61.310678,-45.728769,-15.4,612.61
129,61.310634,-45.728779,-15.4,617.39
130,61.31059,-45.728784,-15.4,622.18
131,61.310547,-45.728764,-15.4,626.97
132,61.310503,-45.728746,-15.4,631.75
133,61.31046,-45.728728,-15.4,636.54
134,61.310416,-45.728714,-15.4,641.32
135,61.310372,-45.7287,-15.4,646.11
136,61.310328,-45.728686,-15.4,650.9
137,61.310284,-45.728688,-15.4,655.68
138,61.31024,-45.728691,-15.4,660.47
139,61.310195,-45.728694,-15.4,665.25
140,61.310151,-45.728695,-15.4,670.04
141,61.310107,-45.728694,-15.4,674.83
142,61.310062,-45.728693,-15.4,679.61
143,61.310018,-45.72869,-15.4,684.4
144,61.309974,-45.728681,-15.4,689.18
145,61.30993,-45.728673,-15.4,693.97
146,61.309886,-45.728665,-15.4,698.76
147,61.309842,-45.728658,-15.4,703.54
148,61.309797,-45.728656,-15.4,708.33
149,61.309753,-45.728653,-15.4,713.11
150,61.309709,-45.72865,-15.4,717.9
151,61.309664,-45.728647,-15.4,722.69
152,61.30962,-45.728644,-15.4,727.47
153,61.309576,-45.728642,-15.4,732.26
154,61.309533,-45.728668,-15.4,737.04
155,61.30949,-45.728681,-15.4,741.83
156,61.309446,-45.728687,-15.4,746.62
157,61.309401,-45.728692,-15.4,751.4
158,61.309357,-45.728697,-15.4,756.19
159,61.309313,-45.728704,-15.4,760.97
160,61.309269,-45.72871,-15.4,765.76
161,61.309225,-45.728724,-15.4,770.55
162,61.309181,-45.728737,-15.4,775.33
163,61.309137,-45.728751,-15.4,780.12
164,61.309093,-45.728765,-15.4,784.9
165,61.30905,-45.72878,-15.4,789.69
166,61.309006,-45.728796,-15.4,794.48
167,61.308962,-45.728802,-15.4,799.26
168,61.308918,-45.728797,-15.4,804.05
169,61.308874,-45.728788,-15.4,808.83
170,61.30883,-45.728777,-15.4,813.62
171,61.308786,-45.728764,-15.4,818.41
172,61.308742,-45.728771,-15.4,823.19
173,61.308698,-45.728776,-15.4,827.98
174,61.308653,-45.728778,-15.4,832.76
175,61.308609,-45.728775,-15.4,837.55
176,61.308565,-45.72877,-15.4,842.34
177,61.30852,-45.72877,-15.4,847.12
178,61.308476,-45.728773,-15.4,851.91
179,61.308432,-45.728778,-15.4,856.69
180,61.308388,-45.728791,-15.4,861.48
181,61.308344,-45.728804,-15.4,866.27
182,61.3083,-45.728819,-15.4,871.05
183,61.308257,-45.728834,-15.4,875.84
184,61.308213,-45.728842,-15.4,880.62
185,61.308168,-45.728846,-15.4,885.41
186,61.308124,-45.72885,-15.4,890.2
187,61.30808,-45.728858,-15.4,894.98
188,61.308036,-45.728867,-15.4,899.77
189,61.307992,-45.728868,-15.3,904.55
190,61.307948,-45.728856,-15.1,909.34
191,61.307905,-45.728835,-14.8,914.13
192,61.307861,-45.728833,-14.4,918.91
193,61.307819,-45.728805,-13.5,923.7
194,61.307796,-45.728734,-13.3,928.48
195,61.307789,-45.728691,-13.4,933.27
196,61.30775,-45.728645,-13.7,938.06
197,61.307712,-45.728599,-13.9,942.84
198,61.307644,-45.728562,-14.3,947.63
199,61.307748,-45.728606,-13.8,952.41
200,61.307841,-45.728811,-14.0,957.2
201,61.307841,-45.729068,-16.5,961.99
202,61.307789,-45.729332,-18.0,966.77
203,61.307718,-45.729575,-20.0,971.56
204,61.307637,-45.729805,-22.1,976.34
205,61.307557,-45.730037,-23.2,981.13
206,61.30749,-45.730236,-24.2,985.92
207,61.307476,-45.730295,-24.8,990.7
208,61.307462,-45.730354,-25.3,995.49
209,61.307449,-45.730413,-25.8,1000.27
210,61.307435,-45.730472,-26.4,1005.06
211,61.307421,-45.730531,-26.9,1009.85
212,61.307408,-45.73059,-27.5,1014.63
213,61.307394,-45.730649,-28.0,1019.42
214,61.30738,-45.730707,-28.2,1024.2
215,61.307366,-45.730766,-28.5,1028.99
216,61.307352,-45.730825,-28.7,1033.78
217,61.307338,-45.730883,-28.9,1038.56
218,61.307324,-45.730942,-29.1,1043.35
219,61.30731,-45.731001,-29.3,1048.13
220,61.307296,-45.731059,-29.6,1052.92
221,61.307282,-45.731118,-29.8,1057.71
222,61.307268,-45.731178,-30.4,1062.49
223,61.307252,-45.731238,-31.4,1067.28
224,61.307237,-45.731298,-32.3,1072.06
225,61.307222,-45.731359,-33.3,1076.85
226,61.307207,-45.731419,-34.3,1081.64
227,61.307192,-45.73148,-35.2,1086.42
228,61.307176,-45.73154,-36.2,1091.21
229,61.307161,-45.7316,-37.2,1095.99
230,61.307145,-45.731659,-37.7,1100.78
231,61.307127,-45.731717,-37.8,1105.57
232,61.30711,-45.731775,-37.9,1110.35
233,61.307092,-45.731833,-38.0,1115.14
234,61.307075,-45.73189,-38.1,1119.92
235,61.307057,-45.731948,-38.2,1124.71
236,61.30704,-45.732006,-38.3,1129.5
237,61.307022,-45.732063,-38.4,1134.28
238,61.307005,-45.732121,-38.5,1139.07
239,61.306987,-45.732179,-38.6,1143.85
240,61.30697,-45.732241,-39.3,1148.64
241,61.306953,-45.732305,-40.1,1153.43
242,61.306936,-45.732369,-40.9,1158.21
243,61.306919,-45.732433,-41.7,1163.0
244,61.306902,-45.732497,-42.6,1167.78
245,61.306885,-45.732561,-43.4,1172.57
246,61.306868,-45.732625,-44.2,1177.36
247,61.306851,-45.732689,-45.0,1182.14
248,61.306835,-45.732754,-45.6,1186.93
249,61.306819,-45.732819,-46.3,1191.71
250,61.306803,-45.732885,-46.9,1196.5
251,61.306787,-45.73295,-47.5,1201.29
252,61.306771,-45.733015,-48.1,1206.07
253,61.306755,-45.73308,-48.8,1210.86
254,61.306739,-45.733145,-49.4,1215.64
255,61.306722,-45.733215,-50.0,1220.43
256,61.306689,-45.733337,-50.6,1225.22
257,61.306656,-45.733459,-51.1,1230.0
258,61.306624,-45.73358,-51.7,1234.79
259,61.306591,-45.733702,-52.2,1239.57
260,61.306554,-45.733819,-54.1,1244.36
261,61.306517,-45.733934,-56.1,1249.15
262,61.30648,-45.73405,-58.1,1253.93
263,61.306441,-45.734164,-60.1,1258.72
264,61.306401,-45.734276,-62.0,1263.5
265,61.306362,-45.734388,-63.9,1268.29
266,61.306322,-45.734501,-65.8,1273.08
267,61.306285,-45.734617,-66.4,1277.86
268,61.30625,-45.734736,-66.3,1282.65
269,61.306215,-45.734855,-66.1,1287.43
270,61.30618,-45.734973,-65.9,1292.22
271,61.306153,-45.735074,-66.1,1297.01
272,61.306138,-45.735149,-66.8,1301.79
273,61.306123,-45.735224,-67.5,1306.58
274,61.306107,-45.735299,-68.1,1311.36
275,61.306092,-45.735374,-68.8,1316.15
276,61.306076,-45.735449,-69.5,1320.94
277,61.306061,-45.735524,-70.1,1325.72
278,61.306046,-45.735599,-70.8,1330.51
279,61.306028,-45.735672,-70.9,1335.29
280,61.306011,-45.735746,-71.0,1340.08
281,61.305994,-45.735819,-71.0,1344.87
282,61.305976,-45.735892,-71.1,1349.65
