DAS Channel,Lat [decimal],Lon [decimal],Elevation [m],OD [m]
590,61.303005,-45.760155,-157.2,2823.74
591,61.303017,-45.760208,-157.8,2828.53
592,61.303029,-45.76026,-158.4,2833.31
593,61.303041,-45.760313,-159.0,2838.1
594,61.303052,-45.760366,-159.6,2842.88
595,61.303066,-45.760434,-160.7,2847.67
596,61.303084,-45.760531,-162.6,2852.46
597,61.303102,-45.760628,-164.5,2857.24
598,61.303119,-45.760724,-166.4,2862.03
599,61.303137,-45.760821,-168.4,2866.81
600,61.303152,-45.760919,-169.5,2871.6
601,61.303166,-45.761018,-170.5,2876.39
602,61.303181,-45.761117,-171.4,2881.17
603,61.303195,-45.761216,-172.3,2885.96
604,61.303209,-45.761315,-173.1,2890.74
605,61.30322,-45.761416,-173.3,2895.53
606,61.303231,-45.761516,-173.4,2900.32
607,61.303242,-45.761617,-173.5,2905.1
608,61.303253,-45.761718,-173.6,2909.89
609,61.303264,-45.761819,-173.8,2914.67
610,61.303276,-45.761919,-174.5,2919.46
611,61.303289,-45.762019,-176.3,2924.25
612,61.303302,-45.762118,-178.0,2929.03
613,61.303315,-45.762218,-179.8,2933.82
614,61.303328,-45.762318,-181.5,2938.6
615,61.303341,-45.762417,-183.3,2943.39
616,61.303352,-45.762503,-185.8,2948.18
617,61.30336,-45.762573,-189.3,2952.96
618,61.303368,-45.762643,-192.8,2957.75
619,61.303376,-45.762713,-196.2,2962.53
620,61.303384,-45.762783,-199.7,2967.32
621,61.303392,-45.762853,-203.2,2972.11
622,61.3034,-45.762923,-206.7,2976.89
623,61.303408,-45.762992,-210.2,2981.68
624,61.303416,-45.763062,-213.7,2986.46
625,61.303427,-45.76313,-213.9,2991.25
626,61.303439,-45.763198,-213.8,2996.04
627,61.303451,-45.763265,-213.7,3000.82
628,61.303463,-45.763333,-213.6,3005.61
629,61.303474,-45.7634,-213.5,3010.39
630,61.303486,-45.763468,-213.4,3015.18
631,61.303498,-45.763535,-213.3,3019.97
632,61.303509,-45.763603,-213.6,3024.75
633,61.30352,-45.763671,-214.0,3029.54
634,61.303531,-45.763739,-214.3,3034.32
635,61.303542,-45.763807,-214.6,3039.11
636,61.303553,-45.763875,-215.0,3043.9
637,61.303564,-45.763943,-215.3,3048.68
638,61.303575,-45.764011,-215.6,3053.47
639,61.303587,-45.764079,-215.9,3058.25
640,61.303597,-45.764147,-216.3,3063.04
641,61.303605,-45.764214,-216.9,3067.83
642,61.303613,-45.764281,-217.5,3072.61
643,61.303621,-45.764348,-218.1,3077.4
644,61.303628,-45.764415,-218.7,3082.18
645,61.303636,-45.764482,-219.3,3086.97
646,61.303644,-45.764548,-219.9,3091.76
647,61.303652,-45.764615,-220.5,3096.54
648,61.30366,-45.764682,-221.1,3101.33
649,61.303668,-45.764749,-221.7,3106.11
650,61.30367,-45.764818,-222.5,3110.9
651,61.303671,-45.764886,-223.4,3115.69
652,61.303672,-45.764955,-224.3,3120.47
653,61.303672,-45.765024,-225.2,3125.26
654,61.303673,-45.765093,-226.0,3130.04
655,61.303674,-45.765162,-226.9,3134.83
656,61.303675,-45.765231,-229.5,3139.62
657,61.303679,-45.765299,-235.3,3144.4
658,61.303682,-45.765368,-241.0,3149.19
